"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 17:23:44 GMT 2021","Wed Aug 18 17:23:49 GMT 2021","4746","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","saveToFileTest","TC-IMDB_007",""
"broken","Wed Aug 18 17:22:25 GMT 2021","Wed Aug 18 17:22:45 GMT 2021","20078","","modify.ModifyDataTest","","modify.ModifyDataTest","deleteBioTest","TC-IMDB_013",""
"broken","Wed Aug 18 17:23:24 GMT 2021","Wed Aug 18 17:23:44 GMT 2021","19829","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC-IMDB_006",""
"broken","Wed Aug 18 17:24:16 GMT 2021","Wed Aug 18 17:24:41 GMT 2021","24910","","data.DataListingTest","","data.DataListingTest","testDataListing","TC-IMDB_008",""
"broken","Wed Aug 18 17:22:00 GMT 2021","Wed Aug 18 17:22:24 GMT 2021","24942","","modify.ModifyDataTest","","modify.ModifyDataTest","writeBackNameTest","TC-IMDB_011",""
"broken","Wed Aug 18 17:23:49 GMT 2021","Wed Aug 18 17:23:52 GMT 2021","3454","","search.searchTest","","search.searchTest","morePagesListsTest","TC-IMDB_009",""
"broken","Wed Aug 18 17:24:41 GMT 2021","Wed Aug 18 17:25:05 GMT 2021","23823","","data.DataListingTest","","data.DataListingTest","testWatchListing","TC-IMDB_014",""
"broken","Wed Aug 18 17:23:05 GMT 2021","Wed Aug 18 17:23:24 GMT 2021","19768","","modify.ModifyDataTest","","modify.ModifyDataTest","editBioTest","TC-IMDB_012",""
"broken","Wed Aug 18 17:23:52 GMT 2021","Wed Aug 18 17:24:16 GMT 2021","23917","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC-IMDB_003",""
"broken","Wed Aug 18 17:25:05 GMT 2021","Wed Aug 18 17:25:29 GMT 2021","23986","","data.DataListingTest","","data.DataListingTest","testRemoveFromWatchListing","TC-IMDB_015",""
"broken","Wed Aug 18 17:22:45 GMT 2021","Wed Aug 18 17:23:05 GMT 2021","19907","","modify.ModifyDataTest","","modify.ModifyDataTest","editProfileUserIDTest","TC-IMDB_010",""
